host_tick_us,t_us,speed_t_us,count,substeps,speed,stopped,mode,demand,output,current_ma,filtered_ma,samples,missed,max_read_us,max_work_us,i2c_errors,fault
35570514,35570515,35564516,-20941,-1340192,0.0000,1,S,0,0,8.20,8.31,35567,0,123,348,0,0
35580514,35580515,35574515,-20941,-1340192,0.0000,1,S,0,0,8.40,8.35,35577,0,123,348,0,0
35590514,35590515,35584515,-20941,-1340192,0.0000,1,S,0,0,8.40,8.35,35587,0,123,348,0,0
35600516,35600517,35594516,-20941,-1340192,0.0000,1,S,0,0,8.30,8.35,35597,0,123,348,0,0
35611514,35611515,35604517,-20941,-1340192,0.0000,1,S,0,0,8.40,8.38,35608,0,123,348,0,0
35621515,35621516,35614516,-20941,-1340192,0.0000,1,S,0,0,8.40,8.38,35618,0,123,348,0,0
35631515,35631516,35624516,-20941,-1340192,0.0000,1,S,0,0,8.30,8.34,35628,0,123,348,0,0
35642515,35642516,35634515,-20941,-1340192,0.0000,1,S,0,0,8.40,8.34,35639,0,123,348,0,0
35653515,35653516,35644515,-20941,-1340192,0.0000,1,S,0,0,8.60,8.41,35650,0,123,348,0,0
35663515,35663516,35654521,-20941,-1340192,0.0000,1,S,0,0,8.40,8.31,35660,0,123,348,0,0
35673515,35673516,35664524,-20941,-1340192,0.0000,1,S,0,0,8.40,8.38,35670,0,123,348,0,0
35683515,35683516,35674521,-20941,-1340192,0.0000,1,S,0,0,8.30,8.38,35680,0,123,348,0,0
35693515,35693516,35684519,-20941,-1340192,0.0000,1,S,0,0,8.40,8.39,35690,0,123,348,0,0
35703515,35703516,35694518,-20941,-1340192,0.0000,1,S,0,0,8.30,8.33,35700,0,123,348,0,0
35713516,35713517,35704520,-20941,-1340192,0.0000,1,S,0,0,8.40,8.37,35710,0,123,348,0,0
35724516,35724517,35724517,-20941,-1340192,0.0000,1,S,0,0,8.00,8.30,35721,0,123,348,0,0
