host_tick_us,t_us,speed_t_us,count,substeps,speed,stopped,mode,demand,output,current_ma,filtered_ma,samples,missed,max_read_us,max_work_us,i2c_errors,fault
112616514,112616517,112614517,-30454,-1949120,0.0000,1,S,0,0,7.70,7.91,112613,0,93,337,0,0
112626514,112626516,112624516,-30454,-1949120,0.0000,1,S,0,0,8.30,8.00,112623,0,93,337,0,0
112636514,112636516,112634514,-30454,-1949120,0.0000,1,S,0,0,7.70,7.90,112633,0,93,337,0,0
112646514,112646516,112644515,-30454,-1949120,0.0000,1,S,0,0,7.70,7.88,112643,0,93,337,0,0
112656514,112656516,112654515,-30454,-1949120,0.0000,1,S,0,0,8.00,7.93,112653,0,93,337,0,0
112666514,112666516,112664516,-30454,-1949120,0.0000,1,S,0,0,8.00,7.94,112663,0,93,337,0,0
112677514,112677516,112674514,-30454,-1949120,0.0000,1,S,0,0,7.90,7.98,112674,0,93,337,0,0
112688513,112688514,112684515,-30454,-1949120,0.0000,1,S,0,0,7.90,7.95,112685,0,93,337,0,0
112698515,112698517,112694516,-30454,-1949120,0.0000,1,S,0,0,7.90,7.89,112695,0,93,337,0,0
112709514,112709515,112704516,-30454,-1949120,0.0000,1,S,0,0,8.00,7.96,112706,0,93,337,0,0
112719514,112719516,112714516,0,0,0.0000,1,S,0,0,7.90,7.93,112716,0,93,337,0,0
112729515,112729517,112724516,0,0,0.0000,1,S,0,0,7.90,7.89,112726,0,93,337,0,0
112739515,112739517,112734515,0,0,0.0000,1,S,0,0,8.00,7.97,112736,0,93,337,0,0
112750513,112750514,112744514,0,0,0.0000,1,S,0,0,8.00,7.99,112747,0,93,337,0,0
112760513,112760515,112754517,0,0,0.0000,1,S,0,0,7.90,7.92,112757,0,93,337,0,0
112770513,112770514,112764514,0,0,0.0000,1,S,0,0,7.70,7.92,112767,0,93,337,0,0
112780514,112780516,112774515,0,0,0.0000,1,S,0,0,7.80,7.89,112777,0,93,337,0,0
112790514,112790516,112784516,0,0,0.0000,1,S,0,0,7.90,7.94,112787,0,93,337,0,0
112801513,112801516,112794517,0,0,0.0000,1,S,0,0,7.90,8.00,112798,0,93,337,0,0
112811514,112811516,112804517,0,0,0.0000,1,S,0,0,7.90,7.97,112808,0,93,337,0,0
112822513,112822515,112814516,0,0,0.0000,1,S,0,0,8.00,8.01,112819,0,93,337,0,0
112832515,112832517,112824519,0,0,0.0000,1,S,0,0,7.70,7.92,112829,0,93,337,0,0
112843514,112843517,112834518,0,0,0.0000,1,P,1000,1000,7.90,4.95,112840,0,93,337,0,0
112853515,112853516,112844525,0,0,0.0000,1,P,1000,1000,8.20,7.03,112850,0,93,337,0,0
112864514,112864517,112864517,0,0,0.0000,1,P,1000,1000,8.00,7.72,112861,0,93,337,0,0
112875513,112875514,112874515,0,0,0.0000,1,P,1000,1000,8.00,7.97,112872,0,93,337,0,0
112885514,112885516,112884515,0,0,0.0000,1,P,1000,1000,7.80,7.96,112882,0,93,337,0,0
112895514,112895517,112894515,0,0,0.0000,1,P,1000,1000,8.00,8.03,112892,0,93,337,0,0
112905514,112905515,112904518,0,0,0.0000,1,P,1000,1000,8.20,8.08,112902,0,93,337,0,0
112916515,112916516,112914516,0,0,0.0000,1,P,1000,1000,8.20,8.14,112913,0,93,337,0,0
112927513,112927515,112924517,0,0,0.0000,1,P,1000,1000,8.00,8.11,112924,0,93,337,0,0
112937515,112937518,112934516,0,0,0.0000,1,P,1000,1000,7.90,8.05,112934,0,93,337,0,0
112947515,112947517,112944517,0,0,0.0000,1,P,1000,1000,8.00,8.12,112944,0,93,337,0,0
112958514,112958517,112954515,0,0,0.0000,1,P,1000,1000,8.20,8.15,112955,0,93,337,0,0
112969514,112969516,112964518,0,0,0.0000,1,P,1000,1000,8.20,8.14,112966,0,93,337,0,0
112979515,112979516,112974515,0,0,0.0000,1,P,1000,1000,8.20,8.15,112976,0,93,337,0,0
112989515,112989517,112984519,0,0,0.0000,1,P,1000,1000,8.10,8.07,112986,0,93,337,0,0
113000514,113000517,112994516,0,0,0.0000,1,P,1000,1000,8.00,8.10,112997,0,93,337,0,0
113010514,113010517,113004516,0,0,0.0000,1,P,1000,1000,8.00,8.10,113007,0,93,337,0,0
113020514,113020516,113014517,0,0,0.0000,1,P,1000,1000,8.00,8.10,113017,0,93,337,0,0
113030515,113030517,113024518,0,0,0.0000,1,P,1000,1000,8.00,8.13,113027,0,93,337,0,0
113041514,113041516,113034515,0,0,0.0000,1,P,1000,1000,8.30,8.15,113038,0,93,337,0,0
113051514,113051516,113044517,0,0,0.0000,1,P,1000,1000,8.20,8.07,113048,0,93,337,0,0
113061514,113061517,113054518,0,0,0.0000,1,P,1000,1000,8.20,8.10,113058,0,93,337,0,0
113071515,113071517,113064516,0,0,0.0000,1,P,1000,1000,7.80,8.04,113068,0,93,337,0,0
113082513,113082515,113074518,0,0,0.0000,1,P,1000,1000,7.80,8.04,113079,0,93,337,0,0
113092515,113092517,113084518,0,0,0.0000,1,P,1000,1000,8.00,8.05,113089,0,93,337,0,0
