host_tick_us,t_us,speed_t_us,count,substeps,speed,stopped,mode,demand,output,current_ma,filtered_ma,samples,missed,max_read_us,max_work_us,i2c_errors,fault
56385514,56385516,56384516,-2675,-171168,0.0000,1,S,0,0,8.00,7.91,56382,0,91,337,0,0
56396514,56396515,56394514,-2675,-171168,0.0000,1,S,0,0,7.70,7.92,56393,0,91,337,0,0
56407514,56407516,56404515,-2675,-171168,0.0000,1,S,0,0,7.80,7.88,56404,0,91,337,0,0
56417514,56417516,56414516,-2675,-171168,0.0000,1,S,0,0,8.00,7.88,56414,0,91,337,0,0
56428514,56428515,56424516,-2675,-171168,0.0000,1,S,0,0,7.70,7.91,56425,0,91,337,0,0
56439513,56439514,56434516,-2675,-171168,0.0000,1,S,0,0,8.00,7.95,56436,0,91,337,0,0
56449514,56449516,56444515,-2675,-171168,0.0000,1,S,0,0,7.80,7.97,56446,0,91,337,0,0
56459514,56459517,56454515,-2675,-171168,0.0000,1,S,0,0,8.20,7.95,56456,0,91,337,0,0
56469514,56469515,56464516,-2675,-171168,0.0000,1,S,0,0,8.00,7.97,56466,0,91,337,0,0
56479514,56479516,56474516,-2675,-171168,0.0000,1,S,0,0,7.70,7.90,56476,0,91,337,0,0
56490513,56490517,56484515,0,0,0.0000,1,S,0,0,7.90,7.89,56487,0,91,337,0,0
56500513,56500515,56494516,0,0,0.0000,1,S,0,0,7.80,7.90,56497,0,91,337,0,0
56510513,56510515,56504515,0,0,0.0000,1,S,0,0,7.80,7.92,56507,0,91,337,0,0
56520514,56520516,56514515,0,0,0.0000,1,S,0,0,8.00,7.91,56517,0,91,337,0,0
56530514,56530517,56524517,0,0,0.0000,1,S,0,0,8.00,7.92,56527,0,91,337,0,0
56541514,56541516,56534515,0,0,0.0000,1,S,0,0,7.70,7.91,56538,0,91,337,0,0
56552514,56552516,56544516,0,0,0.0000,1,S,0,0,7.60,7.83,56549,0,91,337,0,0
56562515,56562517,56554519,0,0,0.0000,1,S,0,0,8.00,7.88,56559,0,91,337,0,0
56573514,56573515,56564516,0,0,0.0000,1,S,0,0,8.00,7.89,56570,0,91,337,0,0
56584514,56584515,56584515,0,0,0.0000,1,S,0,0,8.00,7.89,56581,0,91,337,0,0
56594515,56594517,56594517,0,0,0.0000,1,S,0,0,8.00,7.89,56591,0,91,337,0,0
56605515,56605517,56604514,0,0,0.0000,1,S,0,0,8.00,7.89,56602,0,91,337,0,0
